,Stevilo vozlisc,Nakljucno,Casi nakljucno,CLP,Casi CLP,Lokalno iskanje,Casi lokalno
0,1,1,0.0002751350402832031,1,0.00018405914306640625,1,6.794929504394531e-05
1,9,9,0.00015401840209960938,9,0.00015783309936523438,9,3.6716461181640625e-05
2,17,17,0.0002579689025878906,17,0.00022602081298828125,17,4.410743713378906e-05
3,25,24,0.0004730224609375,24,0.0005199909210205078,24,5.91278076171875e-05
4,33,30,0.0004343986511230469,31,0.0008978843688964844,30,0.0001430511474609375
5,41,36,0.001110076904296875,36,0.0009558200836181641,36,0.000102996826171875
6,49,46,0.0007028579711914062,46,0.0027687549591064453,46,0.00010013580322265625
7,57,51,0.0007429122924804688,51,0.006761312484741211,51,0.00013017654418945312
8,65,58,0.0023958683013916016,58,0.006290912628173828,58,0.0001327991485595703
9,73,65,0.0022852420806884766,65,0.002496004104614258,65,0.0001392364501953125
10,81,63,0.0008099079132080078,66,0.0021190643310546875,63,0.00018095970153808594
11,89,72,0.0012590885162353516,74,0.003038167953491211,72,0.00019097328186035156
12,97,82,0.0013861656188964844,84,0.004457950592041016,82,0.00020313262939453125
13,105,85,0.001711130142211914,86,0.01787090301513672,85,0.00021600723266601562
14,113,93,0.0027310848236083984,96,0.012874841690063477,93,0.00022220611572265625
15,121,95,0.001725912094116211,98,0.011518001556396484,95,0.00025391578674316406
16,129,99,0.0017130374908447266,102,0.005051851272583008,99,0.0004429817199707031
17,137,112,0.0015287399291992188,112,0.011566162109375,112,0.00030493736267089844
18,145,110,0.001458883285522461,112,0.00855398178100586,110,0.00032901763916015625
19,153,115,0.002026081085205078,117,0.01636815071105957,115,0.00035500526428222656
20,161,119,0.0018246173858642578,121,0.009460926055908203,119,0.0005462169647216797
21,169,123,0.0016260147094726562,130,0.014107942581176758,123,0.0005500316619873047
22,177,126,0.0018091201782226562,134,0.010440826416015625,126,0.0005731582641601562
23,185,125,0.002213001251220703,133,0.020180225372314453,125,0.0004467964172363281
24,193,140,0.002652883529663086,144,0.02253890037536621,140,0.0004558563232421875
25,201,141,0.0022089481353759766,151,0.011820793151855469,141,0.00047898292541503906
26,209,137,0.002498149871826172,146,0.0118560791015625,137,0.0005462169647216797
27,217,155,0.0038552284240722656,158,0.015298843383789062,155,0.0005428791046142578
28,225,154,0.0025298595428466797,162,0.01247715950012207,154,0.0005660057067871094
29,233,152,0.005733013153076172,160,0.012185096740722656,152,0.0007412433624267578
