,Verjetnost,Nakljucno,Casi nakljucno,CLP,Casi CLP,Lokalno iskanje,Casi lokalno
0,0.1,13,0.00045013427734375,14,0.0012450218200683594,14,0.00019693374633789062
1,0.1088607594936709,13,0.0003619194030761719,13,0.0011708736419677734,13,0.00014591217041015625
2,0.11772151898734177,12,0.0003800392150878906,14,0.0012407302856445312,13,0.00015425682067871094
3,0.12658227848101267,11,0.0003781318664550781,14,0.0015501976013183594,12,0.00015211105346679688
4,0.13544303797468354,10,0.00042510032653808594,11,0.0021681785583496094,10,0.00018310546875
5,0.14430379746835442,10,0.00045680999755859375,11,0.0022263526916503906,10,0.00023102760314941406
6,0.15316455696202533,11,0.00045490264892578125,13,0.0016820430755615234,12,0.0002110004425048828
7,0.1620253164556962,10,0.000392913818359375,11,0.0019130706787109375,11,0.00017690658569335938
8,0.1708860759493671,8,0.0004489421844482422,11,0.0023381710052490234,8,0.00019311904907226562
9,0.179746835443038,9,0.0004439353942871094,11,0.0024220943450927734,11,0.00023674964904785156
10,0.18860759493670887,11,0.0005118846893310547,11,0.002395153045654297,11,0.00022721290588378906
11,0.19746835443037974,8,0.0004391670227050781,10,0.002871990203857422,9,0.00019621849060058594
12,0.20632911392405065,9,0.0005278587341308594,10,0.003651142120361328,10,0.00025177001953125
13,0.21518987341772153,7,0.00049591064453125,12,0.0019540786743164062,8,0.000186920166015625
14,0.22405063291139243,9,0.0005328655242919922,10,0.002574920654296875,10,0.00023293495178222656
15,0.2329113924050633,8,0.0006000995635986328,10,0.002995014190673828,10,0.0002701282501220703
16,0.2417721518987342,8,0.0005629062652587891,10,0.0029230117797851562,10,0.0002658367156982422
17,0.25063291139240507,7,0.0006871223449707031,8,0.006078958511352539,8,0.00027108192443847656
18,0.259493670886076,10,0.0005879402160644531,10,0.0030241012573242188,10,0.00021886825561523438
19,0.2683544303797468,6,0.0006082057952880859,9,0.0038437843322753906,7,0.00021719932556152344
20,0.27721518987341776,8,0.0006070137023925781,10,0.003364086151123047,9,0.000202178955078125
21,0.28607594936708863,6,0.0008041858673095703,7,0.0064890384674072266,6,0.0005238056182861328
22,0.2949367088607595,7,0.0007081031799316406,8,0.003944873809814453,8,0.00027680397033691406
23,0.3037974683544304,8,0.0005979537963867188,9,0.0038340091705322266,9,0.00028514862060546875
24,0.31265822784810127,7,0.0007729530334472656,8,0.005040168762207031,8,0.0002942085266113281
25,0.3215189873417722,6,0.0006279945373535156,8,0.003968000411987305,6,0.0002288818359375
26,0.330379746835443,6,0.0008330345153808594,8,0.004373073577880859,6,0.00023603439331054688
27,0.33924050632911396,7,0.0008780956268310547,7,0.0057561397552490234,7,0.0002849102020263672
28,0.34810126582278483,5,0.0007259845733642578,8,0.005182027816772461,7,0.0002951622009277344
29,0.3569620253164557,8,0.0008180141448974609,8,0.004602909088134766,8,0.0003159046173095703
30,0.36582278481012664,7,0.0007920265197753906,7,0.005288839340209961,7,0.00025200843811035156
31,0.37468354430379747,6,0.0007359981536865234,7,0.0065500736236572266,7,0.00028514862060546875
32,0.3835443037974684,6,0.0007410049438476562,8,0.005948066711425781,7,0.00031185150146484375
33,0.3924050632911392,4,0.0007708072662353516,8,0.00616765022277832,5,0.0002930164337158203
34,0.40126582278481016,4,0.0007941722869873047,7,0.006612300872802734,5,0.0002980232238769531
35,0.410126582278481,6,0.0007581710815429688,7,0.0048999786376953125,6,0.0003070831298828125
36,0.4189873417721519,6,0.0009160041809082031,7,0.0077190399169921875,7,0.0003859996795654297
37,0.42784810126582284,5,0.0008220672607421875,7,0.0055239200592041016,5,0.0002818107604980469
38,0.43670886075949367,4,0.0009489059448242188,6,0.008756875991821289,5,0.0004200935363769531
39,0.4455696202531646,5,0.0008237361907958984,7,0.00542902946472168,7,0.0003590583801269531
40,0.4544303797468354,6,0.0008299350738525391,7,0.006144046783447266,6,0.0003199577331542969
41,0.46329113924050636,7,0.0009529590606689453,7,0.00596308708190918,7,0.0003757476806640625
42,0.4721518987341773,6,0.0009500980377197266,6,0.006932973861694336,6,0.0004341602325439453
43,0.4810126582278481,4,0.0009829998016357422,6,0.007056236267089844,5,0.0003478527069091797
44,0.48987341772151904,5,0.0010151863098144531,6,0.007136821746826172,5,0.0003819465637207031
45,0.49873417721518987,4,0.001065969467163086,6,0.00738835334777832,4,0.00035572052001953125
46,0.5075949367088608,6,0.0010209083557128906,7,0.006456136703491211,6,0.0003509521484375
47,0.5164556962025316,4,0.0010259151458740234,6,0.007946014404296875,5,0.00036907196044921875
48,0.5253164556962026,4,0.001024007797241211,5,0.008283853530883789,4,0.00039887428283691406
49,0.5341772151898735,4,0.0009579658508300781,5,0.007953882217407227,5,0.00040602684020996094
50,0.5430379746835443,4,0.001094818115234375,5,0.00900411605834961,5,0.0004138946533203125
51,0.5518987341772152,5,0.0009520053863525391,5,0.007683992385864258,5,0.00042700767517089844
52,0.5607594936708861,5,0.0010139942169189453,7,0.006211042404174805,5,0.0003948211669921875
53,0.569620253164557,4,0.0010440349578857422,6,0.008037090301513672,5,0.0004258155822753906
54,0.5784810126582278,4,0.0011510848999023438,5,0.008378982543945312,4,0.0004611015319824219
55,0.5873417721518988,4,0.0010418891906738281,5,0.008886098861694336,4,0.0004296302795410156
56,0.5962025316455697,4,0.001069784164428711,5,0.008337974548339844,4,0.0004138946533203125
57,0.6050632911392405,4,0.0012121200561523438,4,0.010306119918823242,4,0.00039505958557128906
58,0.6139240506329114,4,0.0011248588562011719,5,0.008883953094482422,5,0.00042510032653808594
59,0.6227848101265823,4,0.0010802745819091797,5,0.008303165435791016,4,0.0003991127014160156
60,0.6316455696202532,4,0.0010819435119628906,4,0.009604215621948242,4,0.0004069805145263672
61,0.640506329113924,3,0.0010979175567626953,5,0.008845090866088867,4,0.0004229545593261719
62,0.649367088607595,4,0.0010821819305419922,5,0.008994102478027344,4,0.00038504600524902344
63,0.6582278481012658,3,0.0010790824890136719,5,0.009670257568359375,4,0.0004088878631591797
64,0.6670886075949367,4,0.0011341571807861328,5,0.008279085159301758,4,0.0004220008850097656
65,0.6759493670886076,4,0.0012328624725341797,4,0.009546995162963867,4,0.0004379749298095703
66,0.6848101265822785,3,0.0012133121490478516,4,0.010038137435913086,3,0.00040984153747558594
67,0.6936708860759494,3,0.001194000244140625,4,0.009473085403442383,3,0.00041413307189941406
68,0.7025316455696202,5,0.0011739730834960938,5,0.009144067764282227,5,0.0005822181701660156
69,0.7113924050632912,4,0.0011980533599853516,5,0.007805824279785156,4,0.00043511390686035156
70,0.720253164556962,2,0.0013239383697509766,3,0.010381937026977539,3,0.00048804283142089844
71,0.7291139240506329,3,0.0012078285217285156,4,0.009567022323608398,3,0.00043082237243652344
72,0.7379746835443038,2,0.0012989044189453125,4,0.010289907455444336,3,0.0004677772521972656
73,0.7468354430379747,4,0.001251220703125,4,0.00931406021118164,4,0.0004763603210449219
74,0.7556962025316456,3,0.0012290477752685547,3,0.010520219802856445,3,0.00045680999755859375
75,0.7645569620253164,3,0.0013000965118408203,4,0.009721994400024414,3,0.00043487548828125
76,0.7734177215189874,3,0.0012309551239013672,4,0.009317874908447266,4,0.0005619525909423828
77,0.7822784810126583,3,0.0013730525970458984,3,0.010792732238769531,3,0.0004749298095703125
78,0.7911392405063291,3,0.0012400150299072266,4,0.009283065795898438,3,0.0004401206970214844
79,0.8,3,0.0012640953063964844,4,0.010132312774658203,3,0.0004591941833496094
