,Najboljsi nakljucno,Casi najboljsi nakljucno,CLP,Casi CLP,Najboljsi lokalno iskanje,Casi najboljsi lokalno iskanje,Nakljucni lokalno iskanje,Casi nakljucni lokalno iskanje
64,11,0.050621986389160156,11,0.15142560005187988,11,0.0011279582977294922,13,0.03511929512023926
65,11,0.04478597640991211,12,0.13244390487670898,11,0.0010061264038085938,13,0.03468608856201172
66,10,0.04936695098876953,12,0.13273119926452637,10,0.0010411739349365234,15,0.032885074615478516
67,10,0.05297088623046875,11,0.18409490585327148,11,0.0010120868682861328,12,0.03307509422302246
68,9,0.05683398246765137,11,0.10307812690734863,10,0.0009279251098632812,13,0.03313612937927246
69,9,0.05751466751098633,10,0.19593310356140137,10,0.0009860992431640625,13,0.03376412391662598
70,11,0.04967904090881348,12,0.16097474098205566,11,0.0010800361633300781,14,0.03320193290710449
71,10,0.04944109916687012,12,0.12406492233276367,11,0.0009810924530029297,13,0.032824039459228516
72,10,0.05066514015197754,11,0.17220282554626465,10,0.003462076187133789,14,0.03405117988586426
73,11,0.05262279510498047,11,0.1455998420715332,11,0.0014472007751464844,14,0.03534412384033203
74,12,0.05431103706359863,12,0.11951112747192383,12,0.0011870861053466797,13,0.03733491897583008
75,11,0.05468177795410156,11,0.201019287109375,11,0.0010519027709960938,12,0.032918691635131836
76,10,0.055993080139160156,11,0.10720205307006836,11,0.001085042953491211,13,0.03792595863342285
77,12,0.050127267837524414,13,0.0946202278137207,13,0.0013418197631835938,13,0.03227400779724121
78,11,0.047569990158081055,12,0.16411209106445312,11,0.0009961128234863281,15,0.03249502182006836
79,9,0.05007004737854004,11,0.16366195678710938,9,0.0013391971588134766,12,0.03357696533203125
80,10,0.05382704734802246,11,0.11147809028625488,10,0.0012750625610351562,12,0.0340421199798584
81,12,0.050382137298583984,12,0.09070682525634766,12,0.0020418167114257812,13,0.0368502140045166
82,11,0.050665855407714844,12,0.10854291915893555,12,0.0018978118896484375,13,0.03766584396362305
83,11,0.0545191764831543,12,0.11434125900268555,11,0.0014388561248779297,13,0.03387594223022461
84,10,0.0559999942779541,12,0.16062211990356445,10,0.0010328292846679688,13,0.03393983840942383
85,10,0.05450606346130371,11,0.1391608715057373,11,0.0010170936584472656,13,0.03473091125488281
86,9,0.05610013008117676,10,0.1971569061279297,9,0.0011148452758789062,12,0.03723502159118652
87,10,0.054164886474609375,11,0.1391448974609375,10,0.0011451244354248047,13,0.03497600555419922
88,11,0.05166316032409668,12,0.0983879566192627,12,0.0010957717895507812,12,0.03404593467712402
89,10,0.05211520195007324,11,0.11896181106567383,10,0.0010330677032470703,12,0.03323197364807129
90,11,0.0504150390625,11,0.16479778289794922,11,0.0010459423065185547,13,0.03326106071472168
91,10,0.053407907485961914,11,0.1230471134185791,10,0.0010361671447753906,11,0.03459787368774414
92,9,0.05415487289428711,11,0.1024172306060791,9,0.0010058879852294922,13,0.033807992935180664
93,12,0.05034613609313965,13,0.06345701217651367,12,0.0009982585906982422,13,0.03594803810119629
94,10,0.05135297775268555,11,0.19357776641845703,10,0.0009350776672363281,12,0.03515005111694336
95,10,0.05389118194580078,11,0.10790324211120605,10,0.0011138916015625,13,0.037364959716796875
96,9,0.05774688720703125,10,0.19106292724609375,9,0.0010149478912353516,13,0.03557395935058594
97,10,0.054386138916015625,12,0.12667393684387207,10,0.001013040542602539,13,0.03411388397216797
98,11,0.0575261116027832,11,0.15395116806030273,11,0.0011088848114013672,12,0.033786773681640625
99,10,0.0515899658203125,11,0.15637707710266113,10,0.0010538101196289062,12,0.0349879264831543
100,11,0.053874969482421875,11,0.12935328483581543,11,0.001275777816772461,11,0.034844160079956055
101,9,0.05443286895751953,10,0.21719622611999512,9,0.001058816909790039,11,0.035368919372558594
102,9,0.056298017501831055,11,0.20919132232666016,9,0.0009891986846923828,11,0.03314685821533203
103,12,0.04649686813354492,12,0.1799778938293457,12,0.0010828971862792969,12,0.03208208084106445
104,11,0.04610085487365723,12,0.19642090797424316,12,0.00102996826171875,13,0.03237295150756836
105,11,0.05212688446044922,11,0.11864185333251953,11,0.0012941360473632812,12,0.035060882568359375
106,10,0.05024981498718262,11,0.13010883331298828,11,0.0009837150573730469,13,0.03180718421936035
107,11,0.04885578155517578,11,0.16365909576416016,11,0.0009980201721191406,12,0.03229999542236328
108,11,0.05031085014343262,12,0.12244391441345215,12,0.0009758472442626953,13,0.03305315971374512
109,10,0.0506129264831543,12,0.11474609375,10,0.0010051727294921875,12,0.033547163009643555
110,9,0.05580711364746094,11,0.1411740779876709,9,0.0010268688201904297,12,0.03435802459716797
111,9,0.05251193046569824,11,0.13957810401916504,9,0.0010180473327636719,12,0.03457474708557129
112,10,0.04989886283874512,11,0.15628600120544434,11,0.0009000301361083984,12,0.03293490409851074
113,11,0.05744314193725586,12,0.09980583190917969,12,0.0011708736419677734,12,0.033911943435668945
114,10,0.05428934097290039,11,0.1457350254058838,10,0.0014719963073730469,12,0.03436279296875
115,10,0.049772024154663086,12,0.14596104621887207,10,0.001125335693359375,12,0.039624929428100586
116,10,0.048774003982543945,11,0.14676690101623535,11,0.0010581016540527344,14,0.032998085021972656
117,10,0.06201505661010742,11,0.12694716453552246,11,0.001008749008178711,13,0.033306121826171875
118,11,0.05763411521911621,11,0.1258690357208252,11,0.0011000633239746094,14,0.03494620323181152
119,10,0.05124688148498535,11,0.13636469841003418,10,0.0010600090026855469,12,0.03609776496887207
120,10,0.049668073654174805,11,0.13526082038879395,11,0.0009109973907470703,13,0.035494089126586914
121,10,0.05149579048156738,11,0.13210797309875488,10,0.0013728141784667969,13,0.03557777404785156
122,10,0.06286907196044922,11,0.13335299491882324,10,0.002347230911254883,12,0.04014086723327637
123,10,0.06415295600891113,11,0.16012024879455566,10,0.002145051956176758,11,0.03566312789916992
124,13,0.05618000030517578,13,0.08312225341796875,13,0.0011630058288574219,13,0.03587603569030762
125,11,0.0553746223449707,11,0.15307211875915527,11,0.00109100341796875,12,0.034941911697387695
126,11,0.05511116981506348,11,0.13228917121887207,11,0.0011112689971923828,13,0.03637409210205078
127,10,0.04935884475708008,11,0.13589882850646973,11,0.0009410381317138672,13,0.04410696029663086
128,11,0.046845197677612305,11,0.156325101852417,11,0.0009958744049072266,12,0.03656411170959473
129,10,0.04717206954956055,11,0.15444517135620117,10,0.001010894775390625,12,0.036115407943725586
130,11,0.04874587059020996,11,0.13902616500854492,11,0.0011200904846191406,15,0.03514218330383301
131,11,0.04648566246032715,11,0.1425180435180664,11,0.0010120868682861328,13,0.03286409378051758
132,10,0.048686981201171875,11,0.1348569393157959,10,0.001062154769897461,12,0.03409886360168457
133,10,0.04930305480957031,11,0.1291341781616211,10,0.0010509490966796875,12,0.03402590751647949
134,11,0.04939699172973633,12,0.11219406127929688,11,0.0011551380157470703,11,0.03633284568786621
135,10,0.05076479911804199,11,0.12694191932678223,10,0.0010528564453125,13,0.03631711006164551
136,11,0.04572296142578125,12,0.12232303619384766,11,0.0010287761688232422,12,0.04233407974243164
137,10,0.04621124267578125,11,0.1871790885925293,11,0.001051187515258789,11,0.03539586067199707
138,11,0.047066688537597656,12,0.09161686897277832,12,0.001016855239868164,12,0.04149508476257324
139,12,0.04548001289367676,12,0.10352778434753418,12,0.0010461807250976562,12,0.03460288047790527
140,10,0.04814291000366211,11,0.1511211395263672,10,0.0012631416320800781,12,0.03617596626281738
141,10,0.04961085319519043,11,0.13753509521484375,11,0.0010716915130615234,12,0.03531599044799805
142,11,0.0439600944519043,13,0.09468698501586914,11,0.0009510517120361328,13,0.03323101997375488
143,11,0.04740786552429199,12,0.10331392288208008,11,0.0010802745819091797,12,0.035695791244506836
144,10,0.05116891860961914,12,0.11308789253234863,12,0.0010528564453125,13,0.037671804428100586
145,12,0.050668954849243164,12,0.09587693214416504,12,0.001188039779663086,12,0.03535103797912598
146,11,0.04512786865234375,14,0.04535412788391113,12,0.0009219646453857422,12,0.03378725051879883
147,11,0.049372196197509766,11,0.1325528621673584,11,0.0011131763458251953,13,0.03387331962585449
148,12,0.045059919357299805,12,0.0958249568939209,12,0.0010509490966796875,13,0.03398299217224121
149,9,0.05193901062011719,10,0.16783905029296875,9,0.0011701583862304688,12,0.03479790687561035
150,11,0.04947686195373535,12,0.10454201698303223,12,0.0009002685546875,13,0.0331418514251709
151,9,0.06126594543457031,11,0.12569093704223633,10,0.0009558200836181641,12,0.0341951847076416
152,11,0.0484318733215332,13,0.07265615463256836,13,0.0009720325469970703,12,0.03472113609313965
153,10,0.04952883720397949,11,0.14159107208251953,10,0.0010499954223632812,12,0.034883737564086914
154,10,0.04472708702087402,12,0.1287097930908203,10,0.0009000301361083984,13,0.030736923217773438
155,9,0.0562896728515625,10,0.17713427543640137,9,0.0009770393371582031,14,0.034364938735961914
156,11,0.051052093505859375,12,0.10336494445800781,11,0.0009789466857910156,12,0.032063961029052734
157,11,0.046415090560913086,11,0.15457391738891602,11,0.0009458065032958984,13,0.033873796463012695
158,11,0.04768514633178711,11,0.1837019920349121,11,0.0010340213775634766,12,0.033944129943847656
159,10,0.04759502410888672,11,0.12241792678833008,10,0.001119852066040039,12,0.03892207145690918
160,9,0.050167083740234375,10,0.17330002784729004,9,0.0011379718780517578,12,0.03380107879638672
161,12,0.047186851501464844,12,0.10245394706726074,12,0.0010838508605957031,12,0.03394889831542969
162,10,0.04922676086425781,11,0.12984800338745117,10,0.001024007797241211,14,0.0331425666809082
163,10,0.046855926513671875,12,0.14186310768127441,10,0.0009667873382568359,12,0.03805112838745117
164,11,0.04732084274291992,12,0.11285185813903809,11,0.0010192394256591797,12,0.034330129623413086
165,12,0.04697608947753906,12,0.1036081314086914,12,0.0010938644409179688,13,0.04164910316467285
166,10,0.052158355712890625,11,0.1259467601776123,10,0.0010712146759033203,12,0.03702878952026367
167,10,0.044931888580322266,13,0.10128092765808105,10,0.0009281635284423828,13,0.034584999084472656
168,11,0.04616427421569824,12,0.10648798942565918,11,0.0011057853698730469,13,0.034574031829833984
169,10,0.05320119857788086,11,0.13701486587524414,11,0.0011336803436279297,11,0.035359859466552734
170,12,0.047245025634765625,12,0.09438204765319824,12,0.0010769367218017578,12,0.03451180458068848
171,12,0.048354148864746094,12,0.11047506332397461,12,0.0011382102966308594,12,0.03485703468322754
172,11,0.04483485221862793,12,0.13447809219360352,12,0.0009450912475585938,12,0.032377004623413086
173,10,0.0465550422668457,12,0.09209322929382324,11,0.0009860992431640625,13,0.03391909599304199
174,10,0.0472102165222168,11,0.13265728950500488,10,0.0009667873382568359,11,0.033538103103637695
175,11,0.044680118560791016,13,0.08903121948242188,13,0.0009479522705078125,13,0.03366971015930176
176,10,0.05223703384399414,10,0.18796205520629883,10,0.0010330677032470703,12,0.03780412673950195
177,9,0.05104470252990723,10,0.19783616065979004,9,0.0009911060333251953,11,0.03462481498718262
178,11,0.04642987251281738,13,0.07566118240356445,11,0.0010139942169189453,13,0.03253293037414551
179,10,0.049173831939697266,11,0.1267399787902832,10,0.0011188983917236328,13,0.03311514854431152
180,10,0.046888113021850586,11,0.1471240520477295,10,0.0010380744934082031,12,0.0332181453704834
181,10,0.048803091049194336,11,0.14860010147094727,10,0.0010688304901123047,12,0.03680062294006348
182,12,0.04379606246948242,12,0.11568903923034668,12,0.0009992122650146484,13,0.04095005989074707
183,11,0.04790091514587402,11,0.16316986083984375,11,0.0010671615600585938,11,0.035021066665649414
184,10,0.04762530326843262,11,0.10812997817993164,10,0.0010569095611572266,13,0.03492474555969238
185,11,0.0444791316986084,13,0.11839723587036133,12,0.0009322166442871094,13,0.03353071212768555
186,11,0.049191951751708984,12,0.10892701148986816,11,0.0010571479797363281,13,0.03449702262878418
187,11,0.045787811279296875,12,0.127824068069458,11,0.0010459423065185547,11,0.03341507911682129
188,12,0.0461268424987793,13,0.11068224906921387,13,0.0011539459228515625,14,0.0363619327545166
189,12,0.04401397705078125,13,0.0891880989074707,12,0.0010280609130859375,13,0.034972190856933594
190,10,0.04808807373046875,12,0.1082000732421875,11,0.000972747802734375,11,0.037577152252197266
191,10,0.05256915092468262,11,0.12546896934509277,10,0.001051187515258789,12,0.04128384590148926
192,11,0.04753375053405762,12,0.08136439323425293,11,0.0010371208190917969,13,0.03813791275024414
193,12,0.0461878776550293,12,0.13690686225891113,12,0.0010418891906738281,12,0.03457999229431152
194,10,0.052973031997680664,11,0.17705583572387695,10,0.0010218620300292969,12,0.03474092483520508
195,11,0.047804832458496094,12,0.08202886581420898,11,0.0010738372802734375,12,0.03420114517211914
196,11,0.04851984977722168,12,0.11337685585021973,11,0.0010590553283691406,13,0.03304100036621094
197,10,0.04729199409484863,11,0.14052891731262207,11,0.0010488033294677734,12,0.03365921974182129
198,13,0.04706406593322754,13,0.09154605865478516,13,0.0012960433959960938,12,0.034024953842163086
199,11,0.050984859466552734,11,0.12061309814453125,11,0.0011723041534423828,12,0.03420424461364746
200,11,0.0468900203704834,11,0.15540099143981934,11,0.0010459423065185547,12,0.03303813934326172
201,11,0.045918941497802734,13,0.09120583534240723,11,0.0009088516235351562,14,0.03176403045654297
202,11,0.5668737888336182,12,0.08806133270263672,11,0.0010209083557128906,12,0.03403615951538086
203,11,0.050039052963256836,11,0.11673378944396973,11,0.001068115234375,13,0.038598060607910156
204,10,0.05222606658935547,11,0.17067599296569824,11,0.001127004623413086,12,0.035225868225097656
205,10,0.05021476745605469,10,0.15451526641845703,10,0.0014071464538574219,13,0.034616708755493164
206,11,0.04973411560058594,11,0.16346192359924316,11,0.0012869834899902344,11,0.035720109939575195
207,10,0.0460050106048584,12,0.11087727546691895,10,0.0009989738464355469,14,0.03712797164916992
208,12,0.05073881149291992,12,0.11180496215820312,12,0.0011620521545410156,11,0.03873419761657715
209,11,0.04902482032775879,12,0.10564184188842773,11,0.001049041748046875,12,0.0406191349029541
210,10,0.04924297332763672,11,0.11504411697387695,10,0.0010046958923339844,11,0.03704023361206055
211,10,0.04792499542236328,11,0.16185331344604492,10,0.0009629726409912109,13,0.03330397605895996
212,10,0.04708099365234375,11,0.16162514686584473,10,0.0009758472442626953,11,0.03436899185180664
213,10,0.04779505729675293,12,0.11062216758728027,11,0.0009799003601074219,13,0.035989999771118164
214,10,0.04689288139343262,11,0.1461789608001709,10,0.0009829998016357422,12,0.034589290618896484
215,11,0.04735088348388672,12,0.1401839256286621,12,0.0010328292846679688,13,0.03471112251281738
216,10,0.050985097885131836,11,0.13069891929626465,10,0.001157999038696289,12,0.03766989707946777
217,11,0.05145382881164551,11,0.13224291801452637,11,0.0012269020080566406,12,0.0363461971282959
